trait	nearest_gene_id	gene_relation	lead_snps	min_p_value	min_q_value_bh	max_minus_log10_p	mean_abs_partial_correlation	min_distance_to_gene_bp
agri_aa_oil__Oil_C16_0	Zm00001d039272	gene_body	1	4.764534219267709e-17	8.069667380728536e-14	16.32197954956694	0.3880697293438476	0
agri_aa_oil__Oil_C16_0	Zm00001d023856	promoter	1	5.0628313354393976e-17	8.431976828129803e-14	16.295606540578415	0.3877657470315446	0
agri_aa_oil__Oil_C16_0	Zm00001d044940	gene_body	1	5.158344059510207e-17	8.520049672375801e-14	16.287489693961675	0.3876721265189382	0
agri_aa_oil__Oil_C16_0	Zm00001d005972	cis_window	1	7.685058140090245e-17	1.209373999721162e-13	16.114352842565687	0.3856679776256291	3638
agri_aa_oil__Oil_C16_0	Zm00001d023841	gene_body	1	7.756970912326141e-17	1.2111540458233226e-13	16.110307837102926	0.3856209899041191	0
agri_aa_oil__Oil_C16_0	Zm00001d011117	gene_body	1	8.039173373869577e-17	1.2454860727194405e-13	16.09478860518481	0.385440644739019	0
agri_aa_oil__Oil_C16_0	Zm00001d009978	gene_body	1	8.482131982708085e-17	1.2980676622418073e-13	16.07149497416399	0.3851697459927704	0
agri_aa_oil__Oil_C16_0	Zm00001d021167	gene_body	1	8.999474106715388e-17	1.352329997798279e-13	16.0457828682523	0.38487042888735	0
agri_aa_oil__Oil_C16_0	Zm00001d021488	gene_body	1	9.994929962484871e-17	1.4907065093898337e-13	16.000220244768766	0.3843392749331563	0
agri_aa_oil__Oil_C16_0	Zm00001d049956	gene_body	1	1.1934088406824406e-16	1.7158986853484166e-13	15.923210749259326	0.3834393192683876	0
agri_aa_oil__Oil_C16_0	Zm00001d043428	gene_body	1	1.3761088355740794e-16	1.9644543388749517e-13	15.861347216667324	0.382714346135999	0
agri_aa_oil__Oil_C16_0	Zm00001d049583	gene_body	1	1.8556130190075423e-16	2.575384691158134e-13	15.73151258912628	0.3811869327706001	0
agri_aa_oil__Oil_C16_0	Zm00001d039780	gene_body	1	2.3148635173455683e-16	3.084262420817439e-13	15.635474609575198	0.3800519317139067	0
agri_aa_oil__Oil_C16_0	Zm00001d042506	gene_body	1	3.1947243105918613e-16	4.1731034105728564e-13	15.495566613422517	0.378390489417357	0
agri_aa_oil__Oil_C16_0	Zm00001d008827	cis_window	1	3.514919377784048e-16	4.56154368289876e-13	15.454084632005484	0.3778960472327612	654
agri_aa_oil__Oil_C16_0	Zm00001d041709	gene_body	1	3.556806294086417e-16	4.586123088457645e-13	15.44893978612153	0.377834664738235	0
agri_aa_oil__Oil_C16_0	Zm00001d018988	gene_body	1	3.71833412374664e-16	4.76366272202249e-13	15.429651587781	0.3776044239946821	0
agri_aa_oil__Oil_C16_0	Zm00001d031789	gene_body	1	3.7632430718863856e-16	4.790488582005895e-13	15.424437729230064	0.3775421554347585	0
agri_aa_oil__Oil_C16_0	Zm00001d019001	gene_body	1	4.655804133300736e-16	5.889179689018681e-13	15.332005298464685	0.3764360180751392	0
agri_aa_oil__Oil_C16_0	Zm00001d041718	gene_body	1	4.941731317934975e-16	6.211538706145989e-13	15.306120870894746	0.3761255010911468	0
agri_aa_oil__Oil_C16_0	Zm00001d033278	gene_body	1	5.424228525855043e-16	6.733320597908603e-13	15.265662021680242	0.3756394770968631	0
agri_aa_oil__Oil_C16_0	Zm00001d048903	cis_window	1	6.427616570158181e-16	7.929615662009465e-13	15.191950038323006	0.374751885947467	143
agri_aa_oil__Oil_C16_0	Zm00001d041467	nearest	1	6.860949748249381e-16	8.412282042246187e-13	15.163615761571114	0.3744099771204234	112782
agri_aa_oil__Oil_C16_0	Zm00001d051329	gene_body	1	7.006115734984306e-16	8.537202132411719e-13	15.15452269278911	0.3743001655748783	0
agri_aa_oil__Oil_C16_0	Zm00001d013644	gene_body	1	7.0482665111276795e-16	8.537202132411719e-13	15.151917682614764	0.374268698737433	0
agri_aa_oil__Oil_C16_0	Zm00001d018943	gene_body	1	7.287105719479443e-16	8.773324100435443e-13	15.137444929795434	0.3740938148257376	0
agri_aa_oil__Oil_C16_0	Zm00001d037015	gene_body	1	8.496972532311409e-16	9.8730868745211e-13	15.070735785664183	0.373286352422789	0
agri_aa_oil__Oil_C16_0	Zm00001d020714	gene_body	1	1.1478804270380442e-15	1.296935780366362e-12	14.940103349378983	0.3716985756638876	0
agri_aa_oil__Oil_C16_0	Zm00001d011754	gene_body	1	1.1486151685455833e-15	1.296935780366362e-12	14.939825452749137	0.3716951886248681	0
agri_aa_oil__Oil_C16_0	Zm00001d018243	gene_body	1	1.2279447224748613e-15	1.3634006691940882e-12	14.910821183084492	0.3713414619040599	0
agri_aa_oil__Oil_C16_0	Zm00001d003725	cis_window	1	1.3977473828192993e-15	1.5433602261918997e-12	14.854571312253478	0.3706542163954288	254
agri_aa_oil__Oil_C16_0	Zm00001d009709	gene_body	1	1.560032164893347e-15	1.7037256193821029e-12	14.806866447227792	0.3700700833440328	0
agri_aa_oil__Oil_C16_1	Zm00001d009150	gene_body	1	5.8876900931338255e-24	1.0665455613407185e-18	23.230055057771104	0.4585913690515767	0
agri_aa_oil__Oil_C16_1	Zm00001d031002	gene_body	1	1.4572944267528018e-18	4.854150582551799e-14	17.836452696002006	0.4050188828717708	0
agri_aa_oil__Oil_C16_1	Zm00001d036981	cis_window	1	2.096542523961398e-18	5.985808609554702e-14	17.67849632441973	0.4032958948584704	247
agri_aa_oil__Oil_C16_1	Zm00001d023703	promoter	1	1.295254499709912e-16	2.218453676460396e-12	15.887644890300605	0.3830227465964455	0
agri_aa_oil__Oil_C16_1	Zm00001d013868	gene_body	1	1.332031268389478e-16	2.218453676460396e-12	15.87548558032366	0.3828801914054638	0
agri_aa_oil__Oil_C16_1	Zm00001d013595	gene_body	1	1.6284905381969983e-16	2.386955920064323e-12	15.788214760415515	0.3818549799583388	0
agri_aa_oil__Oil_C16_1	Zm00001d049511	gene_body	1	1.6720730366314006e-16	2.386955920064323e-12	15.776744756374738	0.3817199676370881	0
agri_aa_oil__Oil_C16_1	Zm00001d013849	cis_window	1	2.376009126348694e-16	3.0906604845661935e-12	15.624151895544689	0.3799178245370205	5032
agri_aa_oil__Oil_C16_1	Zm00001d013958	cis_window	1	2.4743098907743124e-16	3.0906604845661935e-12	15.606545908819646	0.3797091747311262	360
agri_aa_oil__Oil_C16_1	Zm00001d049442	gene_body	1	2.9809884569388606e-16	3.5045201708821937e-12	15.525639705650518	0.3787484178827825	0
agri_aa_oil__Oil_C16_1	Zm00001d030002	nearest	1	5.143070097888863e-15	4.4690148586246815e-11	14.28877755638689	0.363648511667816	10934
agri_aa_oil__Oil_C16_1	Zm00001d013983	gene_body	1	6.156870660783398e-15	5.127031428256362e-11	14.210639969666284	0.3626673988408744	0
agri_aa_oil__Oil_C16_1	Zm00001d021162	gene_body	1	1.0605630713743843e-14	8.152303584330731e-11	13.974463499014124	0.3596812363349996	0
agri_aa_oil__Oil_C16_1	Zm00001d052227	cis_window	1	1.5533480476700642e-14	1.149799731167216e-10	13.808731224086545	0.3575668907985854	6066
agri_aa_oil__Oil_C16_1	Zm00001d041768	gene_body	1	2.1524634467180535e-14	1.4339424486909443e-10	13.667064215030376	0.3557469921690351	0
agri_aa_oil__Oil_C16_1	Zm00001d013971	cis_window	1	2.7945348754448244e-14	1.8016276195706478e-10	13.55369046607358	0.3542820882534461	4103
agri_aa_oil__Oil_C16_1	Zm00001d021490	gene_body	1	3.4732233754696434e-14	2.1034682755389726e-10	13.459267284753093	0.3530562260384935	0
agri_aa_oil__Oil_C16_1	Zm00001d005018	gene_body	1	4.8673660828026776e-14	2.702145321790588e-10	13.312705988508476	0.3511428649247218	0
agri_aa_oil__Oil_C16_1	Zm00001d021465	gene_body	1	6.597278883606744e-14	3.4697520225318663e-10	13.18063515680912	0.3494074736356163	0
agri_aa_oil__Oil_C16_1	Zm00001d008883	gene_body	1	7.401884038356717e-14	3.7931049650508205e-10	13.130657723063695	0.3487479741143246	0
agri_aa_oil__Oil_C16_1	Zm00001d013787	gene_body	1	9.261007073866577e-14	4.4068281660825676e-10	13.03334178406948	0.3474593359368854	0
agri_aa_oil__Oil_C16_1	Zm00001d005036	gene_body	1	1.00062556994421e-13	4.6507214862039534e-10	12.999728403367676	0.3470128550058434	0
agri_aa_oil__Oil_C16_1	Zm00001d013818	gene_body	1	1.2331979986886058e-13	5.357869983171957e-10	12.9089671887454	0.3458037217866208	0
agri_aa_oil__Oil_C16_1	Zm00001d027934	gene_body	1	1.5122515361483065e-13	6.430479638477787e-10	12.820375965663136	0.3446184362755792	0
agri_aa_oil__Oil_C16_1	Zm00001d049987	gene_body	1	1.8121700950436082e-13	7.545272219063234e-10	12.741801040725512	0.3435629366237417	0
agri_aa_oil__Oil_C16_1	Zm00001d033092	promoter	1	2.0852889520152627e-13	8.505255281509433e-10	12.680833757682567	0.3427412008283919	0
agri_aa_oil__Oil_C16_1	Zm00001d010607	gene_body	1	3.2743008996399585e-13	1.283115059996948e-09	12.48488141256961	0.3400835497823676	0
agri_aa_oil__Oil_C16_1	Zm00001d028995	gene_body	1	6.132884274482415e-13	2.269803184372143e-09	12.21233523022982	0.3363442413391535	0
